userId,stripeId,status
cll12i0mm0014lg06nd1pxls6,cus_OPKeBHOSODOY4z,incomplete
cll12pyle001klg06em4rz6x3,cus_OPKkRR88wsRihQ,incomplete
cll13zcwk0020lg06c4p76dni,cus_OPLKBLDpDcgApt,incomplete
clu0tklok0014qs0698vsgdry,cus_PmD2r9zGvqvD5u,incomplete
clu4n5n0t002yqs062yj7lvxp,cus_PnD920xuAis5nz,incomplete
cluiowe6g003iqs06wobphzpx,cus_PqtVQ6GVVrb49o,incomplete
cluipi0sr0042qs062i72ur79,cus_PqtlO1Vt6VCGCw,incomplete
cluq8mrq0001ylb062lgiudwp,cus_PssBwWv5S10ed5,incomplete
clur056nj000mpb06jm4e6vjo,cus_Pt4cJUe2qXtzsW,incomplete
