id,proposal_id,author_id,rating,rating_explaination,created_at,updated_at,feedback_id
18,21,cll12pyle001klg06em4rz6x3,1,,2023-08-07 16:26:24.797,2023-08-07 16:26:24.797,1
19,23,cll12i0mm0014lg06nd1pxls6,1,,2023-08-07 16:45:10.685,2023-08-07 16:45:10.685,1
20,26,cll12i0mm0014lg06nd1pxls6,1,,2024-01-16 15:35:39.846,2024-01-16 15:35:39.846,1
21,26,clkzviwgv000glg062rwslf8w,2,,2024-01-16 15:39:51.544,2024-01-16 15:39:51.544,1
22,21,clrplp7zl004olg06f1q5nsjb,1,,2024-03-20 06:40:31.611,2024-03-20 06:40:31.611,1
23,26,clrplp7zl004olg06f1q5nsjb,1,,2024-03-21 01:49:30.884,2024-03-21 01:49:30.884,1
24,23,cluisf9fi004cqs062oko5671,1,,2024-04-21 20:47:09.788,2024-04-21 20:47:09.788,1
